name,price,availability,brand,productCode,description
Canon EF 14mm f/2.8L II USM Lens ," Rs134,540.00 "," Rs134,540.00 ",Canon,Product Code: Canon EF 14mm f/2.8L II USM Lens ,"
							
								Product Highlights
							
							
						 
							
							



						 EF Mount L-Series Lens Aperture Range: f/2.8-22 Two UD and Two Aspherical Elements Ultrasonic Autofocus Motor Manual Focus Override Truly Circular Diaphragm Moisture Proof and Dustproof Sealing Minimum Focus Distance: 7.9"" Rear Gelatin Filter Holder Built-in Lens Hood The  EF 14mm f/2.8L II USM Lens  from  Canon  offers
 a bright maximum aperture and provides an ultra wide-angle view with 
the shortest focal length in the line-up of L-series lenses. Its 
diagonal angle of view is an impressive 114° - anything larger would be a
 fisheye lens. This lens features completely redesigned 
optics, including two high-precision Aspherical elements and two 
UD-glass elements. This results in better contrast and sharpness at the 
outer edges, and a reduction in chromatic aberrations that can sometimes
 be seen with high-resolution digital SLRs. Its minimum focus distance 
is 7.9"" and its truly circular diaphragm helps to create a pleasing 
out-of-focus background. The 14mm f/2.8L II USM lens uses a rear 
focusing system, high-speed CPU, and a ring-type ultrasonic autofocus 
motor (USM) with revised electronics for faster, more responsive and 
quiet AF. Manual focus override allows for precise manual focus even in 
AF mode. This wide aperture lens is the ideal choice for 
architectural, wedding, or other pro-level photography applications and 
its moisture proof and dustproof sealing helps to ensure its durability. 
			
		
		

		

	

	
		

		
		       
				    
				                

										
												A ring-type ultrasonic motor (USM) uses ultrasonic frequency
 vibrations to drive responsive, near-silent high speed auto focus. Good
 holding torque stops the focusing lens group with precision without 
overshoot. Full time manual focus override is available without having 
to switch out of AF.
										  
										  

				         
				    
				                

										
												Two UD (ultra-low dispersion) glass lens elements correct 
chromatic aberration to achieve high resolution and contrast, without 
color fringing on subject outlines.
										  
										  

				         
				    
				                

										
												Two AL aspherical lens elements suppress aberrations for high image quality at all focal lengths.
										  
										  

				         
				    
				                

										
												Equipped with a fixed, petal-type hood and a gelatin filter holder at the rear.
										  
										  

				         
				    
				                

										
												Only lead free glass is used in the lens construction. 
										  
										  

				         
				    
				    
		      "
Canon EF 20mm f/2.8 USM Lens," Rs36,360.00 "," Rs36,360.00 ",Canon,Product Code: Canon EF 20mm f/2.8 USM Lens,"
							
								Product Highlights
							
							
						 
							
							



						 EF Mount Lens Aperture Range: f/2.8-22 Aspherical and Super UD Elements Ultrasonic Autofocus Motor Floating Rear Focusing System Manual Focus Override Metal Filter Ring and Lens Hood Mount Truly Circular Diaphragm Minimum Focus Distance: 9.8"" 72mm Filter Thread Diameter The  EF 20mm f/2.8 USM Lens  from  Canon 
 is an ultra-wide-angle lens with a fast maximum aperture for full frame
 EF mount cameras. A floating rear focusing system gives sharp images at
 all subject distances and an ultrasonic motor (USM) enables fast, 
smooth and quiet autofocus. Full-time manual focus override allows for 
precise manual focus even when in AF mode. The minimum focus distance is
 9.8"".  Sharp, high-contrast images and minimized aberrations 
result from the lens' optical construction which includes aspherical and
 Super UD lens elements. Canon's Super Spectra lens coating suppresses 
ghosting and flare by absorbing light that might otherwise reflect off 
the camera's sensor. A metal front barrel- including filter ring and 
lens hood mount- provides durability and a stable hold for those 
optional accessories.   
			
		
		

		

	

	
		

		
		       
				    
				                

										
												Ultra-wide-angle lens with diagonal angle of view of 94° for full frame EF mount DSLRs
										  
										  

				         
				    
				                

										
												Ultrasonic autofocus motor for precise, fast and quiet autofocus.
										  
										  

				         
				    
				                

										
												Manual Focus Override
										  
										  

				         
				    
				                

										
												9.8"" minimum focus distance
										  
										  

				         
				    
				                

										
												Six-blade circular aperture
										  
										  

				         
				    
				    
		      "
Canon EF 24mm f/1.4L II USM Lens," Rs99,090.00 "," Rs99,090.00 ",Canon,Product Code: Canon EF 24mm f/1.4L II USM Lens,"
							
								Product Highlights
							
							
						 
							
							



						 EF Mount L-Series Lens Aperture Range: f/1.4-22 Two Aspherical and Two UD Elements Sub Wavelength Lens Coating Ultra Sonic Motor Autofocus Full-time Manual Focus Override Minimum Focus Distance: 3.0"" Dust and Water Resistant Circular Diaphragm - 8 Blades 77mm Filter Diameter The  EF 24mm f/1.4L II USM Lens  from  Canon 
 lens is a wide-angle prime lens that provides sharp imaging and 
impressive performance at all settings. Its wide maximum aperture of 
f/1.4 allows for effective low-light photography and its circular 
aperture and narrow depth of field provide pleasing background blur. It 
is ideal for photojournalists, landscape and event photographers, and 
anyone who enjoys taking images from a wider perspective. This
 version ""II"" improves greatly over its predecessor with the addition of
 two high-precision aspherical elements, which correct aberration 
including curvature of field and distortion. Chromatic aberration common
 in wide-angle shooting is also reduced by the inclusion of two UD 
lenses, which ensure optimum image quality and corner-to-corner detail. 
The lens elements have anti-reflective SWC (Sub-Wavelength Coating) that
 minimizes ghosting and flaring across the lens surface, regardless of 
the angle with which light enters. The EF 24mm f/1.4L II USM 
lens features Canon's near-silent Ultra Sonic Motor (USM), which 
provides fast auto-focusing with full-time manual override. The floating
 internal focus system also helps maintain image quality throughout the 
focal range. As an L-series lens, it is designed to withstand the 
demands of professional usage and features Canon's advanced weather and 
dust sealing. 
			
		
		

		

	

	
		

		
		       
				    
				                Fast f/1.4 Maximum Aperture  

										
												A wide f/1.4 maximum aperture allows this lens to be very 
effective in low light situations and provides shallow depth of field 
focusing.
										  
										  

				         
				    
				                Aspherical and UD Lens Elements  

										
												Two aspherical and two UD lens elements minimize chromatic aberrations.
										  
										  

				         
				    
				                SWC (Sub Wavelength Coating)  

										
												The anti-reflective SWC (Sub Wavelength Coating) differs 
from conventional coatings by using a much finer structure, which 
minimizes ghosting and flaring across the lens surface, regardless of 
the angle with which light enters or exits.
										  
										  

				         
				    
				                Ring-Type USM Autofocus Motor  

										
												Canon's very best autofocus mechanisms are in place, 
permitting full-time manual focusing override without requiring a 
switchover from AF to MF mode. The USM (Ultrasonic Motor) is fast and 
virtually silent which is ideal for discreet shooting and when using 
this lens to record video. The floating rear focusing system maintains 
performance across the entire focus range.
										  
										  

				         
				    
				                L-Series  

										
												Canon's ""L-Series"" designation indicates that this lens 
meets their highest quality standards with excellent color reproduction 
and edge to edge sharpness. Lens elements are made from lead-free glass 
and a tight seal structure ensures excellent dust and moisture-proof 
performance
										  
										  

				         
				    
				    
		      "
Canon EF-M18-150mm f/3.5-6.3 IS STM," Rs31,450.00 "," Rs31,450.00 ",Canon,Product Code: EF-M18-150mm f/3.5-6.3 IS STM,"With a high zoom ratio of approximately 8.3x, the EF-M18-150mm f/3.5-6.3 IS STM lens is suitable for shooting wide angle landscapes to telephoto shots of distant subjects. Its high magnification of 0.31x, with closest focusing distance of 0.45m at focal length of 150mm gives users a more magnified view. With the optimally positioned aspherical lenses, users are equipped to achieve sharp and crisp photographs across its broad focal length. Filter size: 55mm Max aperture: f/3.5-6.3 With STM motor and IS For use with the EOS M lineup"
Canon EF-M18-55mm f/3.5-5.6 IS STM," Rs17,230.00 "," Rs17,230.00 ",Canon,Product Code: EF-M18-55mm f/3.5-5.6 IS STM,"The EF-M18-55mm f/3.5-5.6 IS STM is a versatile zoom lens well-suited for everyday use for both wide-angle and portrait shots; its Image Stabilizer delivers crisp photos equivalent to a shutter speed setting up to four times more responsive, resulting in sharper image quality. The lens' Dynamic IS activates automatically during movie shooting to ensure steady shots while the new lenses use an electro magnetic diaphragm with a 7-blade circular aperture, for shots with shallow depth-of-field with a beautiful bokeh effect. Filter size: 52mm Max aperture: f/3.5-5.6 With STM motor and IS For use with the EOS M lineup"
Canon EF-S15-85mm f/3.5-5.6 IS USM," Rs52,360.00 "," Rs52,360.00 ",Canon,Product Code: EF-S15-85mm f/3.5-5.6 IS USM,"Developed to fit the requirements of advanced amateurs, this new standard lens is an excellent all-round performer, featuring high grade external finishing. Its 5.7x zoom range (24-135mm equivalent in 35mm format) covers wide angle to telephoto, and a host of high-end features that deliver great image quality. Image stabilisation in the lens gives it a significant up to four-stop advantage, while all manner of lens aberration has been corrected through the use of UD lenses, high-precision aspherical lenses and aspherical lenses. Lens disposition and coatings have been optimized to cut ghosting and flare, while circular aperture delivers beautiful, soft-toned images. Filter size: 72mm Max aperture: f/3.5-5.6 With ring USM motor and IS"
Canon EF-S17-55mm f/2.8 IS USM," Rs55,090.00 "," Rs55,090.00 ",Canon,Product Code: EF-S17-55mm f/2.8 IS USM,"This large-aperture EF-S Series standard zoom lens features an optical system consisting of 19 lens elements in 12 groups. Three aspherical lens elements (one glass-molded and two replica surfaces) efficiently compensate for aberration fluctuations over the entire zoom range while enabling a large f/2.8 aperture and high image quality. Two UD lenses also reduce secondary chromatic aberrations to produce high-resolution, high-contrast images without colour aberration bleeding around subject edges. The inner focus and a ring-type USM achieve silent, high-speed autofocusing, while full-time manual focus override offers excellent operability by enabling users to tweak focusing without exiting the autofocusing mode. Now it's easier to determine the ideal focus when shooting portrait and close-up photos with a large aperture setting. A circular aperture diaphragm contributes to beautiful background blur, and the optimized lens configuration and coating reduce the flare and ghost so common with digital cameras. This outstanding optical performance and operability is further enhanced by an Image Stabilizer that reduces the amount of camera-shake blur to roughly that of a 3 f-stop faster shutter speed*1. Clearly, this standard zoom lens meets the stringent requirements of professionals. The lens mechanism is designed to ensure that it fits only EOS DIGITAL SLR cameras designed to take EF-S lenses, and it is equipped with a special attachment indicator and protective rubber mount ring to prevent mistaken attempts to attach it to other EOS SLR cameras, and to prevent damage to the camera body. Filter size: 77mm Max aperture: f/2.8 With ring USM motor and IS"
Canon EF-S17-85mm f/4-5.6 IS USM," Rs42,725.00 "," Rs42,725.00 ",Canon,Product Code: EF-S17-85mm f/4-5.6 IS USM,"This lightweight, compact EF-S series standard zoom lens is equipped with an image stabilizer, and takes advantage of the small image circle of the EF-S format to deliver 5x zooming in an amazingly compact form. The seventeen element, twelve group optical system uses only environmentally friendly lead-free glass, with a double aspherical molded glass lens as the 15th element to ensure high picture quality over the whole zoom range. The image stabilizer gives stability equivalent to about three shutter speeds*1, substantially improving handheld steadiness, and ensures that you won’t miss that once-in-a-lifetime shot. The optical design and coating have been optimized to reduce the flare and ghosts that are prone to occur with digital cameras. Exquisite bokeh (blur effects) enabled by the round diaphragm, and the full-time manual focus function further expand expressive possibilities. The lens mechanism is designed to ensure that it fits only EOS DIGITAL SLR cameras designed to take EF-S lenses, and it is equipped with a special attachment indicator and protective rubber mount ring to prevent mistaken attempts to attach it to other EOS SLR cameras, and to prevent damage to the camera body. Filter size: 77mm Max aperture: f/2.8 With ring USM motor and IS"
Canon EF-S18-135mm f/3.5-5.6 IS," Rs33,270.00 "," Rs33,270.00 ",Canon,Product Code: EF-S18-135mm f/3.5-5.6 IS,"Where greater zoom is required, the EF-S18-135mm f/3.5-5.6 IS is a cost-effective solution, delivering high zoom performance and image quality. Offering a broad 7.5x zoom range (29-216mm equivalent in 35mm format), this lens is ideal for a great range of subjects and situations. Built-in image stabilization gives up to four-stop advantage in shutter speed, and the system will also distinguish between normal shooting and panning shots and automatically select the optimum IS mode for best image results. In terms of optics, the use of UD lenses and high precision aspherical lenses corrects all manner of lens aberrations, supplemented by special coatings and optimised lens disposition to cut flare and ghosting. Filter size: 67mm Max aperture: f/3.5-5.6 With micro motor and IS"
Canon EF-S18-135mm f/3.5-5.6 IS STM," Rs31,450.00 "," Rs31,450.00 ",Canon,Product Code: EF-S18-135mm f/3.5-5.6 IS STM,"The EF-S18-135mm f/3.5 - 5.6 IS STM features reduced chromatic aberration with the inclusion of one UD lens element and one PMO asperical lens element. With the new six-group zoom system and the stepping motor and focus mechanism, it also offers smooth, speedy and quiet focusing while recording with the EOS 650D’s Movie Servo AF. The Dynamic IS system features an expanded correction range, with image stabilization equivalent to four stops of light. With STM motor and IS Filter size: 67mm Max aperture: f/3.5-5.6"
